vendor,slug,status,scim_plan,scim_price_text,team_price_text,pricing_page_url,team_plan,team_price_per_user_mo,scim_price_per_user_mo,price_multiplier,notes,last_verified
Front,front,gated,Scale,Scale: $99/seat/mo (annual),Starter: $19/seat/mo,https://front.com/pricing,Starter,19,99,5.2,"Starter $19, Growth $59, Scale $99 per seat/mo, Premier custom. SAML SSO and SCIM on Scale and Premier only. Annual-only on those tiers.",2026-06-12
FullStory,fullstory,gated,Enterprise,Contact Sales (~$80K+/yr),"Business: ~$10-25K/yr (custom, session-based)",https://www.fullstory.com/pricing/,Business,,,,Session-volume pricing. No public list. SCIM 2.0 endpoint requires Enterprise plan + active SAML SSO. Enterprise typically $80-200K+/yr.,2026-06-12
Gainsight,gainsight,gated,Enterprise,Contact Sales (~$300/u/mo),Essentials: ~$150/u/mo (quote-based),https://www.gainsight.com/pricing/,Essentials,150,,,Pricing is quote-based; third-party sources cite Essentials ~$150/u/mo and Enterprise ~$300/u/mo. SCIM is Enterprise-only and requires SAML SSO.,2026-06-12
GatherContent / Bynder,gathercontent-bynder,gated,Enterprise,Contact Sales,"~$450/mo flat starter (500 GB, seat-based)",https://www.bynder.com/en/pricing/,Small Business,,,,Bynder lists no public per-user pricing; SMB starter ~$450/mo (500GB). SCIM supported (Azure SCIM docs) and aligned to Enterprise/SSO tier. Status moved from unknown to gated.,2026-06-12
Genetec Security Center,genetec-security-center,gated,Premium,Contact Sales (Premium plan),Standard: $149/yr/device (~$12.42/device/mo),https://www.genetec.com/products/unified-security/security-center-saas/saas-pricing,Standard,,,,"Priced per-device, not per-user. SCIM 2.0 auto-provisioning is gated to Premium plan per Genetec docs.",2026-06-12
GetResponse,getresponse,none,—,—,Starter: ~$19/mo flat (1k contacts),https://www.getresponse.com/pricing,Starter,,,,"Contact-based pricing, not per-user. No SCIM provisioning publicly documented on any tier including MAX (enterprise).",2026-06-12
GitBook,gitbook,none,—,—,Premium: $65/site/mo + $12/u/mo,https://www.gitbook.com/pricing,Premium,12,,,GitBook supports SAML SSO with JIT provisioning on Enterprise but does NOT support SCIM at any tier. Status changed from unknown to none.,2026-06-12
GitHub,github,gated,Enterprise,Enterprise: $21/u/mo,Team: $4/u/mo,https://github.com/pricing,Team,4,21,5.3,Pricing unchanged. SCIM provisioning is Enterprise-only.,2026-06-12
GitKraken,gitkraken,gated,Enterprise,Contact Sales (~$20/u/mo),Pro: $4.95/u/mo,https://www.gitkraken.com/pricing,Pro,4.95,,,"Status changed from none to gated. GitKraken Enterprise tier adds SCIM provisioning and advanced multi-domain SSO; quote-based, est. $15-25/u/mo.",2026-06-12
GitLab,gitlab,gated,Premium,Premium: $29/u/mo (SCIM included),Premium: $29/u/mo,https://about.gitlab.com/pricing/,Premium,29,29,1,Free tier has no SCIM. SCIM is included starting at Premium ($29/u/mo SaaS). Premium is both the lowest paid tier and the SCIM tier.,2026-06-12
Gong,gong,gated,Enterprise,Contact Sales,Foundation: ~$108-119/u/mo (quote-based),https://www.gong.io/pricing/,Foundation,,,,All pricing quote-based with $5K-$50K platform fee. SCIM is Enterprise-only and requires SAML SSO.,2026-06-12
Google Workspace,google-workspace,free,Business Starter,$7/u/mo (SCIM API on all plans),Business Starter: $7/u/mo,https://workspace.google.com/pricing,Business Starter,7,7,,Google Workspace acts as both IdP and SP. SCIM API support available across all paid plans starting at $7/u/mo.,2026-06-12
Grafana Cloud,grafana-cloud,gated,Advanced,Advanced: Contact Sales (~$25k/yr),Pro: $19/mo base + usage,https://grafana.com/pricing/,Pro,,,,SCIM (Okta/Entra) is GA in Grafana Cloud Advanced/Enterprise tiers (Feb 2026 announcement). Pro is usage-based. Advanced is custom-quoted ~$25k/yr starting.,2026-06-12
Grammarly Business,grammarly-business,gated,Enterprise,Contact Sales,Business: $15/u/mo (annual),https://www.grammarly.com/plans,Business,15,,,"SCIM provisioning is Enterprise-only (request via CSM). Requires SAML SSO. Supported IdPs: Okta, Azure AD, OneLogin.",2026-06-12
Greenhouse,greenhouse,gated,Plus / Pro,Contact Sales,"Core: Contact Sales (~$6,500/yr starting)",https://www.greenhouse.com/pricing,Core,,,,"Plans renamed to Core/Plus/Pro. All pricing is quote-based. SCIM user provisioning available on higher tiers; pricing tied to headcount, not seats.",2026-06-12
Gusto,gusto,none,—,—,Simple: $49/mo + $6/emp,https://gusto.com/pricing,Simple,,,,Gusto does not support inbound SCIM provisioning on any plan; only JIT via SAML SSO. Plus/Premium can push data outbound but not receive SCIM from an IdP.,2026-06-12
Hatz.ai,hatz-ai,gated,SMB / Professional / Business,Contact Sales,Quote-based (MSP channel),https://hatz.ai,SMB,,,,Hatz AI supports SAML SSO + SCIM provisioning starting at SMB tier or higher. Pricing is quote-based through MSP partner channel. Status moved from unknown to gated.,2026-06-12
HelloSign / Dropbox Sign,hellosign-dropbox-sign,none,—,—,Essentials: $15/mo (single user),https://sign.dropbox.com/products/dropbox-sign/pricing,Essentials,15,,,Dropbox Sign does not natively support SCIM per Dropbox documentation. SAML SSO available but no SCIM at any tier.,2026-06-12
Help Scout,help-scout,none,—,—,Standard: $25/u/mo (annual),https://www.helpscout.com/pricing/,Standard,25,,,Help Scout supports SAML SSO with IdP-side provisioning only; does not support SCIM (no Service Provider provisioning).,2026-06-12
Heroku,heroku,none,—,—,Eco: $5/mo flat,https://www.heroku.com/pricing/,Eco,,,,Heroku Enterprise supports SAML SSO but SCIM is still on the roadmap (not GA per heroku/roadmap issue #149). Status changed from gated to none. Only JIT via SSO.,2026-06-12
Hex,hex,gated,Enterprise,Contact Sales,Professional: $36/editor/mo,https://hex.tech/pricing,Professional,36,,,SCIM provisioning is Enterprise-only at Hex; Team plan ($75/editor/mo) does not include SCIM. Status changed from unknown to gated.,2026-06-12
HiBob,hibob,free,All plans,Contact Sales (included),Contact Sales (~$10-15/emp/mo typical),https://www.hibob.com/pricing/,Core HRIS,,,,HiBob includes native SCIM 2.0 support on all plans (requires SSO configured first). All pricing is quote-based.,2026-06-12
Hootsuite,hootsuite,gated,Enterprise,"Contact Sales (~$1,800-2,000/u/mo)",Standard: $99/u/mo,https://www.hootsuite.com/plans,Standard,99,,,"Status changed from none to gated. Hootsuite supports SCIM 2.0 on Enterprise only ($15k/yr minimum + ~$1,800-2,000/u/mo).",2026-06-12
HubSpot,hubspot,gated,Enterprise,Enterprise: $150/seat/mo,Starter: $20/seat/mo,https://www.hubspot.com/pricing,Starter,20,150,7.5,"SCIM is technically available on Professional, but SSO (required for SCIM) is Enterprise-only. Effective requirement is Enterprise at $150/seat/mo, min 10 seats.",2026-06-12
iManage,imanage,none,—,—,Contact Sales (~$50-75/u/mo),https://imanage.com/product/,Cloud (base),,,,iManage does not support native SCIM provisioning per Stitchflow; manual user lifecycle via Cloud Control Center. Status changed from gated to none.,2026-06-12
Incident.io,incident-io,gated,Enterprise,Contact Sales (~$50/u/mo),Team: $15/u/mo (annual),https://incident.io/pricing,Team,15,,,"SCIM is Enterprise-only (typically 300+ users). User reports cite SCIM as a $5,000 add-on on top of Enterprise. Enterprise est. ~$50/u/mo.",2026-06-12
Inedo ProGet,inedo-proget,unknown,Enterprise,Contact Sales,"Basic: Free (per-server, unlimited users)",https://inedo.com/proget/pricing,Basic,0,,,Per-server licensing (not per-user). Enterprise adds SAML + LDAP/AD; SCIM not explicitly listed. Treated as unknown pending direct confirmation.,2026-06-12
Instructure / Canvas,instructure-canvas,gated,All institutional plans,Contact Sales,"Contact Sales (institutional, ~$3-12/user list)",https://www.instructure.com/canvas,Canvas Core,,,,New simplified tiers (Canvas Core / Plus / Next) announced 2026. All pricing remains Contact Sales / institutional only.,2026-06-12
Intercom,intercom,gated,Expert,Expert: $132/seat/mo,Essential: $29/seat/mo,https://www.intercom.com/pricing,Essential,29,132,4.6,SCIM gated to Expert tier. Fin AI resolutions priced separately ($0.99/resolution).,2026-06-12
ISL Online,isl-online,none,—,—,Standard: $34.90/user/mo,https://www.islonline.com/pricing/,Standard,34.9,,,Enterprise tier supports SAML SSO and LDAP/external auth but no native SCIM endpoint documented.,2026-06-12
Jam,jam,gated,Enterprise,Contact Sales,"Team: paid (per-user, custom)",https://jam.dev/pricing,Team,,,,Status updated from 'none' to 'gated': Jam now documents SSO + Directory Sync (SCIM-style provisioning) on Enterprise plan. Public per-seat prices not disclosed; sales-led.,2026-06-12
JFrog,jfrog,gated,Enterprise X,Enterprise X: $950/mo flat,Pro: $150/mo flat,https://jfrog.com/pricing/,Pro (SaaS),,,6.3,"Flat SaaS pricing, not per-user. SCIM available from Enterprise X tier ($950/mo) up. Multiplier computed against base monthly price.",2026-06-12
Jobber,jobber,none,—,—,Core: $29/mo (1 user),https://www.getjobber.com/pricing/,Core,29,,,"Status updated from 'unknown' to 'none': Jobber does not document native SCIM. Third-party IdPs (OneLogin) provide SAML SSO + provisioning, but no native SCIM endpoint. Core plan dropped to $29/mo.",2026-06-12
JumpCloud,jumpcloud,free,Free,Free (up to 10 users),Free (up to 10 users / 10 devices),https://jumpcloud.com/pricing,Free,0,0,,"JumpCloud is itself an identity platform; SCIM and SSO are core offerings. Free tier covers up to 10 users; paid plans Device Mgmt $11/u/mo, SSO $13/u/mo.",2026-06-12
JustCall,justcall,none,—,—,Team: $29/u/mo (annual),https://justcall.io/pricing/,Team,29,,,"No native SCIM provisioning documented on any tier. Business plan (custom, 10+ seats) adds HIPAA but no SCIM listed.",2026-06-12
Keeper Security,keeper-security,gated,Enterprise,Enterprise: ~$6/u/mo (Contact Sales),Business: $4/u/mo,https://www.keepersecurity.com/pricing/business-and-enterprise.html,Business,4,6,1.5,"Pricing now more transparent: Business Starter $2/u/mo, Business $4/u/mo, Enterprise ~$6/u/mo (~$72/u/yr). SCIM gated to Enterprise. Status 'gated' unchanged but published list prices replace prior 'Contact Sales' both sides.",2026-06-12
Kiwi TCMS,kiwi-tcms,none,—,—,Self Support: $25/mo flat,https://kiwitcms.org/pricing/,Self Support,,,,Flat-rate per-instance subscriptions. Private Tenant $75/mo and Enterprise $400/mo do not document SCIM; login methods cannot be configured per-tenant.,2026-06-12
Klaviyo,klaviyo,gated,Any paid Email plan,Included from $20/mo (must enable SAML SSO first),Email: ~$20/mo (251-500 contacts),https://www.klaviyo.com/pricing,Email (first paid),,,1,"SCIM included on all paid plans (any Email plan from $20/mo). Free tier (up to 250 contacts) does not include SCIM. Contact-based, not seat-based pricing.",2026-06-12
KnowBe4,knowbe4,free,Silver (all tiers),Included Silver+: $1.30/seat/mo,Silver: $1.30/seat/mo (list),https://www.knowbe4.com/products/security-awareness-training/pricing,Silver,1.3,1.3,1,"SSO/SAML and SCIM provisioning included with all subscription tiers (Silver through Diamond). No SSO tax. List prices Silver $1.30, Gold $1.51, Platinum $1.78, Diamond $2.35/seat/mo.",2026-06-12
Kubecost / Apptio,kubecost-apptio,none,—,—,"Free (single-cluster, unlimited nodes)",https://www.apptio.com/products/kubecost/,Free,0,,,Now IBM Kubecost under Apptio. Enterprise tier adds SSO/SAML/RBAC but no SCIM endpoint documented. Business starts ~$449/mo.,2026-06-12
LastPass,lastpass,gated,Business,Business: $7/u/mo,Teams: ~$4/u/mo (under 50 users),https://www.lastpass.com/pricing,Teams,4,7,1.8,SCIM included in Business plan at $7/u/mo (includes SSO portal for 3 apps). Business + Add-Ons $9/u/mo adds unlimited SSO.,2026-06-12
Later,later,none,—,—,Starter: $18.75/mo (annual),https://later.com/pricing/,Starter,,,,Plans restructured (Starter/Growth/Scale; Advanced/Agency tiers retired). Starter dropped from $25 to $18.75/mo annual. Flat per-account pricing. No SCIM provisioning documented at any tier. Status updated from 'unknown' to 'none'.,2026-06-12
Lattice,lattice,free,All products,Included on all products,"$11/seat/mo (min $4,000/yr)",https://lattice.com/pricing,Performance + OKRs Bundle,11,11,1,SSO and SCIM included on every product/plan. No SSO tax. $4K minimum annual commitment.,2026-06-12
LaunchDarkly,launchdarkly,gated,Enterprise,Contact Sales,Foundation: $10/service connection/mo (annual),https://launchdarkly.com/pricing/,Foundation,,,,Per-service-connection pricing (not per-user). Foundation includes SSO; SCIM and release automation gated to Enterprise/Guardian (custom).,2026-06-12
Leapsome,leapsome,gated,Enterprise,Contact Sales,$3-7/u/mo (volume-tiered),https://www.leapsome.com/pricing,Standard (volume-tiered),7,,,"SCIM gated to Enterprise plan and requires SSO. Base pricing volume-tiered: 1-10 users $7/u/mo, 100-500 $5/u/mo, 1000+ $3/u/mo.",2026-06-12
Lever,lever,gated,LeverTRM for Enterprise,Contact Sales (~2-3x LeverTRM base),LeverTRM: ~$6K-12K/yr (Contact Sales),https://www.lever.co/pricing/,LeverTRM,,,,Lever has Okta-certified SCIM integration (incl. Aquera HR-as-master connector). All pricing remains Contact Sales; Enterprise tier required for SCIM.,2026-06-12
Linear,linear,gated,Enterprise,Contact Sales (~$192-240/u/yr),Basic: $10/u/mo (annual),https://linear.app/pricing,Basic,10,,,SAML SSO and SCIM remain Enterprise-only (custom pricing). Business at $16/u/mo does NOT include SCIM. Annual billing required.,2026-06-12
LinearB,linearb,gated,Enterprise,Enterprise: $549/contributor/yr (~$45.75/mo),Pro: $420/contributor/yr (~$35/mo),https://linearb.io/pricing,Pro / Essentials,35,45.75,1.3,SCIM supported only with Okta; Microsoft Entra and Google Workspace not supported. SSO/SCIM must be enabled by LinearB support.,2026-06-12
Litmus,litmus,none,—,—,Core: $500/mo (Basic tier eliminated Aug 2025),https://www.litmus.com/pricing,Core,,,,Basic ($99/mo) and Plus ($199/mo) plans eliminated; Core now $500/mo entry point (151% increase). Enterprise tier offers SAML SSO but SCIM not documented. Now Validity-owned.,2026-06-12
LiveAgent,liveagent,none,—,—,Small: $15/agent/mo,https://www.liveagent.com/pricing/,Small,15,,,"Large tier ($49/agent/mo) adds SSO + custom roles + audit log, but no native SCIM provisioning documented at any tier.",2026-06-12
LogRocket,logrocket,none,—,—,"Core: from $69/mo (volume-based, not per-user)",https://logrocket.com/pricing/,Core,,,,"Volume/session-based pricing, not per-user. No native SCIM at any tier; Enterprise includes SSO/SAML but not SCIM.",2026-06-12
Loom,loom,gated,Enterprise (includes Atlassian Guard Standard),Contact Sales,Business: $18/u/mo,https://www.loom.com/pricing,Business,18,,,"SCIM delivered via Atlassian Guard Standard, bundled free in Enterprise. Guard Standard $4/u/mo if added standalone with Business.",2026-06-12
Lucidchart,lucidchart,gated,Enterprise,Contact Sales (~$199/u/yr list),Team: $9/u/mo,https://lucid.app/pricing/lucidchart,Team,9,,,Enterprise list ~$199/u/yr (~$16.6/u/mo) with volume discounts; quoted by sales.,2026-06-12
Mailchimp,mailchimp,partial,Add-on (Aquera connector via Okta only),Contact Sales,Essentials: from $13/mo (500 contacts),https://mailchimp.com/pricing/,Essentials,,,,No native SCIM. Provisioning only via third-party Aquera connector through Okta. Contact-based pricing.,2026-06-12
Mailgun,mailgun,none,—,—,Foundation: $35/mo,https://www.mailgun.com/pricing/,Foundation,,,,"SAML SSO on Scale+ with JIT provisioning but no native SCIM. Volume-based pricing, not per-user.",2026-06-12
Mailjet,mailjet,none,—,—,Essential: $17/mo,https://www.mailjet.com/pricing/,Essential,,,,No native SCIM as of 2026-06. SSO requires Premium 100k+ (~$280/mo). Volume-based pricing.,2026-06-12
Mailtrap,mailtrap,none,—,—,Basic: from $15/mo,https://mailtrap.io/pricing/,Basic,,,,Enterprise plan (~$750/mo) includes SAML SSO with JIT provisioning but no native SCIM. Volume-based pricing.,2026-06-12
MaintainX,maintainx,none,—,—,Essential: $16/u/mo (annual),https://www.getmaintainx.com/pricing,Essential,16,,,SSO (SAML/OIDC via Okta) on Enterprise but no native SCIM provisioning documented.,2026-06-12
Mattermost,mattermost,partial,Professional (AD/LDAP sync); full SCIM on Enterprise,$10/u/mo (Professional),Professional: $10/u/mo,https://mattermost.com/pricing/,Professional,10,10,1,Professional includes AD/LDAP sync + SAML SSO. Full SCIM provisioning typically gated to Enterprise (Contact Sales).,2026-06-12
Metabase,metabase,gated,Enterprise,Contact Sales (starts at $20k/yr),Starter: $100/mo + $6/u (5 users included),https://www.metabase.com/pricing,Starter,6,,,"Status changed: SCIM provisioning moved to Enterprise (custom, from $20k/yr) and no longer on Pro. Pro still has SSO/SAML.",2026-06-12
Microsoft 365,microsoft-365,free,Included via Microsoft Entra ID (free tier supports SCIM),Included,Business Basic: $6/u/mo (rises to $7 July 2026),https://www.microsoft.com/en-us/microsoft-365/business/compare-all-plans,Business Basic,6,0,,M365 acts as IdP via Entra. Outbound SCIM provisioning to other apps available even on free Entra tier. Status remains 'free'.,2026-06-12
Miro,miro,gated,Enterprise,Contact Sales (30+ members),Starter: $8/u/mo (annual),https://miro.com/pricing/,Starter,8,,,SCIM automation is Enterprise-only.,2026-06-12
Mixpanel,mixpanel,gated,Enterprise,Contact Sales (~$25K+/yr),"Growth: free up to 1M events, then $0.28/1K events",https://mixpanel.com/pricing/,Growth,,,,"Event-volume pricing, not per-user. SAML SSO and SCIM provisioning exclusive to Enterprise.",2026-06-12
Monday.com,monday-com,gated,Enterprise,Contact Sales (~$40/seat/mo),Basic: $9/seat/mo,https://monday.com/pricing/,Basic,9,,,SCIM provisioning gated to Enterprise. Typical Enterprise ACV ~$480/u/yr (~$40/seat/mo).,2026-06-12
Multi,multi,none,—,—,—,https://multi.app,,,,,Could not verify on 2026-06-12 (Multi was discontinued; team joined OpenAI in 2024). No current product/pricing.,2026-06-12
Mural,mural,gated,Enterprise,Contact Sales,Team+: $9.99/u/mo (annual),https://www.mural.co/pricing,Team+,9.99,,,"SCIM provisioning is Enterprise-only along with multi-workspace, audit logs, BYOK.",2026-06-12
n8n,n8n,partial,Enterprise,Contact Sales,Starter: EUR 24/mo,https://n8n.io/pricing/,Starter,,,,Execution-based pricing. SSO/SAML and SCIM provisioning gated to Enterprise (custom).,2026-06-12
NationBuilder,nationbuilder,none,—,—,Starter: $34/mo,https://nationbuilder.com/pricing,Starter,,,,SAML SSO available on Enterprise but no documented SCIM provisioning support.,2026-06-12
Netlify,netlify,gated,Enterprise,Contact Sales,Pro: $20/mo per member,https://www.netlify.com/pricing/,Pro,20,,,SSO and SCIM exclusive to Enterprise plan.,2026-06-12
NetSuite,netsuite,none,—,—,Contact Sales,https://www.netsuite.com/portal/products.shtml,,,,,"Status changed from 'gated' to 'none'. NetSuite has no native SCIM endpoint; provisioning only via proprietary API or third-party connectors (Okta, Aquera, Ping). All pricing Contact Sales.",2026-06-12
New Relic,new-relic,gated,Pro or Enterprise,Pro: from $349/full-user/mo,Standard: from $10/mo (usage-based),https://newrelic.com/pricing,Standard,,349,,Status changed from 'unknown' to 'gated'. SCIM provisioning requires Pro or Enterprise edition per New Relic docs. Per-user pricing applies to full-platform users.,2026-06-12
Notion,notion,gated,Enterprise,Contact Sales,Plus: $10/member/mo,https://www.notion.com/pricing,Plus,10,,,SCIM API only available on Enterprise. Pricing page redirects from notion.so to notion.com.,2026-06-12
Okta,okta,gated,Add-on (Lifecycle Management) or Essentials/higher,Contact Sales (~$4/u/mo add-on),Starter: $6/u/mo (SSO only),https://www.okta.com/pricing/,Starter (SSO),6,4,0.7,"Lifecycle Management add-on provides SCIM/provisioning at ~$4/u/mo. New Essentials tier ($17/u/mo) bundles advanced automation. $1,500/yr minimum.",2026-06-12
OneSignal,onesignal,none,—,—,Growth: starts free; paid tiers volume-based,https://onesignal.com/pricing,Growth,,,,Status changed from 'unknown' to 'none'. OneSignal supports SAML/OIDC SSO on Enterprise but explicitly does NOT support SCIM provisioning/deprovisioning via IdP; users must be invited manually.,2026-06-12
OpenAI / ChatGPT,openai-chatgpt,gated,Enterprise,Contact Sales,Business: $20/u/mo (annual),https://openai.com/chatgpt/pricing,Business,20,,,"Business plan cut from $25 to $20/u/mo on annual billing (Apr 2026). SCIM only on Enterprise (~150-seat min, contact sales, est. $60+/u/mo).",2026-06-12
OpsGenie,opsgenie,partial,Add-on (Atlassian Guard Standard) + Essentials,+$4/u/mo add-on,Essentials: $9.45/u/mo (annual),https://www.atlassian.com/software/opsgenie/pricing,Essentials,9.45,4,0.4,"New signups have ended; Opsgenie reaches EOL April 5, 2027. Atlassian Guard Standard ($4/u/mo) required for SCIM. Multiplier is add-on cost vs base plan.",2026-06-12
OrbStack,orbstack,none,—,—,Pro: $8/u/mo,https://orbstack.dev/pricing,Pro,8,,,Enterprise tier offers SAML SSO but SCIM is not listed at any tier.,2026-06-12
Otter.ai,otter-ai,gated,Enterprise,Contact Sales,Pro: $8.33/u/mo (annual),https://otter.ai/pricing,Pro,8.33,,,SCIM requires a 100-user minimum on Enterprise. Business tier ($19.99/u/mo) does not include SCIM.,2026-06-12
Outreach,outreach,gated,Enterprise (opaque),Contact Sales,Contact Sales,https://www.outreach.io/pricing,,,,,All pricing opaque. Per-seat estimates $100-160/u/mo. SCIM available to admins on enterprise contracts.,2026-06-12
Overleaf,overleaf,none,—,—,Group Standard: $199/u/yr (~$16.58/u/mo),https://www.overleaf.com/user/subscription/plans,Group Standard,16.58,,,"Overleaf does not support SCIM by design; SSO available but provisioning is user-initiated. Group Standard $199/u/yr, Group Professional $399/u/yr.",2026-06-12
PagerDuty,pagerduty,gated,Business,Business: $41/u/mo,Professional: $21/u/mo,https://www.pagerduty.com/pricing/,Professional,21,41,2,Status changed from free to gated. Native SCIM now requires Business or Enterprise plan; Professional tier does not include SCIM.,2026-06-12
PagerTree,pagertree,unknown,—,—,Pro: $10/u/mo,https://pagertree.com/pricing/,Pro,10,,,"Plans: Basic (free), Pro $10, Elite $15, Enterprise $25 per user/mo. SAML SSO supported, but no public confirmation of native SCIM endpoint.",2026-06-12
PandaDoc,pandadoc,gated,Enterprise,Contact Sales,Starter: $19/u/mo (annual),https://www.pandadoc.com/pricing/,Starter,19,,,Entry paid plan renamed Essentials to Starter ($19/u/mo annual). SCIM (1.1 only) requires Enterprise + active SSO. Business plan is $49/u/mo.,2026-06-12
Pendo,pendo,gated,Pulse / Ultimate (Premium),Contact Sales (~$48K+/yr),Free,https://www.pendo.io/pricing/,Free,0,,,"Pendo is MAU-priced, not per-seat. SCIM only on Premium/Pulse/Ultimate tiers or as paid add-on. Median contract ~$48.5K/yr.",2026-06-12
Personio,personio,none,—,—,Essential: ~$5/emp/mo,https://www.personio.com/pricing/,Essential,5,,,"No public price list; estimates from Vendr/ITQlick put Essential ~$5-7, Professional ~$8-10, Enterprise ~$12-15/emp/mo. Personio acts as HR source-of-truth pushing to IdP, but does not accept SCIM provisioning inbound.",2026-06-12
Phrase,phrase,unknown,—,—,"Team: $1,245/mo flat (annual)",https://phrase.com/pricing/,Team,,,,"Pricing is per-seat bundle (TMS/Strings seats), not per-user. SCIM is not publicly documented on any plan. Contact Sales for Business/Enterprise.",2026-06-12
Pingboard,pingboard,unknown,—,—,Essentials: ~$3-4/emp/mo,https://pingboard.com/pricing,Essentials,4,,,"List pricing not on public page; estimates Essentials ~$3-4, Pro ~$5-7/emp/mo. Native SCIM provisioning unclear; integrates with Okta/OneLogin for sync but no official SCIM endpoint advertised.",2026-06-12
Pipedrive,pipedrive,gated,Ultimate,Ultimate: $79/seat/mo (annual),Lite: $14/seat/mo (annual),https://www.pipedrive.com/en/pricing,Lite,14,79,5.6,Status changed from none to gated. Pipedrive top-tier Ultimate (previously Enterprise) now includes SCIM for user provisioning at $79/seat/mo annual.,2026-06-12
Pitch,pitch,unknown,—,—,Pro: $20/u/mo (or $17 annual),https://pitch.com/pricing/us,Pro,17,,,SSO available on Enterprise or Business with 30+ seats (via WorkOS). Native SCIM provisioning not publicly documented.,2026-06-12
Pivotal Tracker,pivotal-tracker,gated,Enterprise,Contact Sales,Startup: ~$1/u/mo (6-10 users),https://www.pivotaltracker.com/pricing,Startup,1,,,Product winding down (shutdown announced Sept 2024); shifting to Enterprise-only. Standard plan $6.50/u/mo (11+ users); Startup $1/u/mo for 6-10.,2026-06-12
Plane,plane,gated,Enterprise Grid,Contact Sales,Pro: $6/seat/mo,https://plane.so/pricing,Pro,6,,,"Status changed from unknown to gated. Plane Enterprise (custom pricing) explicitly includes SCIM + LDAP provisioning, SAML, and OIDC. Business tier $13/seat/mo does not list SCIM.",2026-06-12
Plausible,plausible,none,—,—,Starter: $9/mo flat (10k PVs),https://plausible.io/#pricing,Starter,2,,,Status changed from unknown to none. Plausible Enterprise includes SAML SSO but explicitly does NOT include SCIM provisioning. Flat pricing normalized to ~$2/u/mo for small team.,2026-06-12
Playvox,playvox,unknown,—,—,Starter: ~$15/u/mo,https://www.playvox.com/pricing/,Starter,15,,,"Three tiers (Starter ~$15, Professional ~$30, Enterprise ~$40 per agent/mo). SCIM provisioning not publicly documented; identity management reserved for Enterprise/custom quotes.",2026-06-12
Pluralsight Skills,pluralsight-skills,gated,Enterprise,Enterprise: $779/u/yr (~$64.92/u/mo),Starter: $399/u/yr (~$33.25/u/mo),https://www.pluralsight.com/businesses/pricing,Starter,33.25,64.92,2,"Status changed from unknown to gated. Three team tiers: Starter $399, Professional $579, Enterprise $779/u/yr. SSO + SCIM provisioning standard on Enterprise; may be add-on for Professional.",2026-06-12
Postman,postman,gated,Enterprise,Enterprise: $49/u/mo (annual),Team: $19/u/mo (annual),https://www.postman.com/pricing/,Team,19,49,2.6,"Plans now: Free, Solo $9, Team $19, Enterprise $49 per user/mo (annual). SCIM exclusive to Enterprise. Team plan replaces previous Basic ($14).",2026-06-12
Prerender,prerender,none,—,—,Starter: $49/mo flat,https://prerender.io/pricing/,Starter,,,,"Free plan discontinued Oct 2025; replaced by 30-day Starter trial. New tiers: Starter $49, Growth, Pro $349/mo; Enterprise/Enterprise Plus custom. Usage-based (renders), not per-seat. No SCIM documented.",2026-06-12
Prismic,prismic,unknown,Enterprise,Contact Sales,Starter: $10/mo per repo,https://prismic.io/pricing,Starter,,,,"Per-repository pricing (not per-user): Free, Starter $10, Small $25, Medium $150, Platinum $675/mo, Enterprise custom. SSO documented on Enterprise; SCIM not explicitly listed on any tier.",2026-06-12
Process Street,process-street,gated,Enterprise,Contact Sales,Startup: $100/mo flat (5 users) ~$20/u/mo,https://www.process.st/pricing/,Startup,20,,,SCIM provisioning and SAML SSO are Enterprise-only (custom pricing). Pro plan starts $15/u/mo but does not include SCIM. Startup $100/mo flat for up to 5 users normalized to ~$20/u/mo.,2026-06-12
Procore,procore,none,—,—,"Contact Sales (ACV-based, ~$15K-$80K/yr)",https://www.procore.com/pricing,Essentials,,,,"Procore has no native SCIM endpoint per support docs; SAML SSO only. Status changed from 'partial' to 'none'. Pricing is Contact Sales, ACV-based with unlimited users.",2026-06-12
Productboard,productboard,gated,Enterprise,Contact Sales (~$350/maker/mo est.),Spark: $15/maker/mo (annual),https://www.productboard.com/pricing/,Spark,15,,,Pricing page now consolidated to single Spark tier at $15/maker/mo (annual). Enterprise tier still gates SCIM/SAML SSO/audit logs and is Contact Sales.,2026-06-12
Pulumi,pulumi,gated,Business Critical,Contact Sales (~$50K+ annual min),Team: $40/mo flat (up to 10 users),https://www.pulumi.com/pricing/,Team,4,,,SCIM is now on Business Critical tier per current docs (not Enterprise). Enterprise is $400/mo flat unlimited users. Team is $40/mo flat for up to 10 users (~$4/u/mo normalized).,2026-06-12
QuickBooks Online,quickbooks-online,none,—,—,Simple Start: $38/mo,https://quickbooks.intuit.com/pricing/,Simple Start,38,,,"No SCIM on any plan (Simple Start $38, Essentials, Plus, Advanced $275). No SAML/OIDC enterprise SSO either. Single-user/small-business focused.",2026-06-12
Ramp,ramp,free,Free,Included on Free plan,Free: $0/u/mo,https://ramp.com/pricing,Free,0,0,,"SCIM, SSO, and SAML included on all tiers including Free. Plus tier is $15/u/mo.",2026-06-12
